tag,layer,expert,count
prime_check,10,123,247
prime_check,10,124,2808
prime_check,10,125,385
prime_check,10,127,2
prime_check,11,1,1131
prime_check,11,3,1569
prime_check,11,4,229
prime_check,11,5,10
prime_check,11,6,137
prime_check,11,7,256
prime_check,11,8,1
prime_check,11,10,1026
prime_check,11,11,64
prime_check,11,12,22
prime_check,11,16,1188
prime_check,11,17,339
prime_check,11,18,851
prime_check,11,19,55
prime_check,11,20,87
prime_check,11,21,37
prime_check,11,23,187
prime_check,11,24,50
prime_check,11,25,4
prime_check,11,27,833
prime_check,11,28,2312
prime_check,11,30,117
prime_check,11,31,553
prime_check,11,32,108
prime_check,11,34,2272
prime_check,11,35,3
prime_check,11,36,110
prime_check,11,37,291
prime_check,11,38,122
prime_check,11,40,3412
prime_check,11,41,18
prime_check,11,42,28
prime_check,11,43,30
prime_check,11,44,187
prime_check,11,46,231
prime_check,11,47,3
prime_check,11,48,123
prime_check,11,49,81
prime_check,11,51,11
prime_check,11,54,318
prime_check,11,56,1871
prime_check,11,58,18
prime_check,11,59,410
prime_check,11,60,693
prime_check,11,61,658
prime_check,11,62,1716
prime_check,11,63,1
prime_check,11,65,5
prime_check,11,66,128
prime_check,11,67,32
prime_check,11,68,1092
prime_check,11,69,559
prime_check,11,70,287
prime_check,11,71,57
prime_check,11,72,18
prime_check,11,73,11
prime_check,11,74,2185
prime_check,11,76,145
prime_check,11,77,50
prime_check,11,78,6
prime_check,11,79,181
prime_check,11,80,35
prime_check,11,81,36
prime_check,11,83,253
prime_check,11,84,353
prime_check,11,87,98
prime_check,11,88,64
prime_check,11,89,2
prime_check,11,90,128
prime_check,11,91,2212
prime_check,11,92,297
